projectId|projectType|projectLocation|usagePosition|usageEndPosition|usageFullyQualifiedName|usageKind|usageType
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(140:16)|/src/main/java/org/apache/commons/cli/helpformatter.java(140:49)|org.apache.commons.cli.HelpFormatter.defaultDescPad|SYMBOL_KIND_FIELD|SYMBOL_USE_INSTANCE_FIELD_READ
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/defaultparser.java(659:24)|/src/main/java/org/apache/commons/cli/defaultparser.java(661:5)|org.apache.commons.cli.DefaultParser.parse(org.apache.commons.cli.Options,java.lang.String[])|SYMBOL_KIND_METHOD|SYMBOL_USE_VIRTUAL_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/commandline.java(444:29)|/src/main/java/org/apache/commons/cli/commandline.java(446:5)|org.apache.commons.cli.CommandLine.iterator()|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(542:17)|/src/main/java/org/apache/commons/cli/helpformatter.java(544:5)|org.apache.commons.cli.HelpFormatter.printHelp(java.lang.String,java.lang.String,org.apache.commons.cli.Options,java.lang.String,boolean)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/defaultparser.java(659:24)|/src/main/java/org/apache/commons/cli/defaultparser.java(661:5)|org.apache.commons.cli.DefaultParser.parse(org.apache.commons.cli.Options,java.lang.String[])|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(172:19)|/src/main/java/org/apache/commons/cli/helpformatter.java(172:65)|org.apache.commons.cli.HelpFormatter.defaultLongOptPrefix|SYMBOL_KIND_FIELD|SYMBOL_USE_INSTANCE_FIELD_WRITE
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/options.java(304:20)|/src/main/java/org/apache/commons/cli/options.java(308:5)|org.apache.commons.cli.Options.hasShortOption(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/alreadyselectedexception.java(43:12)|/src/main/java/org/apache/commons/cli/alreadyselectedexception.java(46:5)|org.apache.commons.cli.AlreadySelectedException(org.apache.commons.cli.OptionGroup,org.apache.commons.cli.Option)|SYMBOL_KIND_CONSTRUCTOR|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/parser.java(99:24)|/src/main/java/org/apache/commons/cli/parser.java(101:5)|org.apache.commons.cli.Parser.parse(org.apache.commons.cli.Options,java.lang.String[],boolean)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/parser.java(329:20)|/src/main/java/org/apache/commons/cli/parser.java(332:5)|org.apache.commons.cli.Parser.setOptions(org.apache.commons.cli.Options)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/commandline.java(107:20)|/src/main/java/org/apache/commons/cli/commandline.java(109:5)|org.apache.commons.cli.CommandLine.addOption(org.apache.commons.cli.Option)|SYMBOL_KIND_METHOD|SYMBOL_USE_VIRTUAL_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(542:17)|/src/main/java/org/apache/commons/cli/helpformatter.java(544:5)|org.apache.commons.cli.HelpFormatter.printHelp(java.lang.String,java.lang.String,org.apache.commons.cli.Options,java.lang.String,boolean)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/defaultparser.java(30:14)|/src/main/java/org/apache/commons/cli/defaultparser.java(776:1)|org.apache.commons.cli.DefaultParser|SYMBOL_KIND_CLASS|SYMBOL_USE_INHERITANCE
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(327:16)|/src/main/java/org/apache/commons/cli/helpformatter.java(329:5)|org.apache.commons.cli.HelpFormatter.getDescPadding()|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/option.java(713:20)|/src/main/java/org/apache/commons/cli/option.java(715:5)|org.apache.commons.cli.Option.isRequired()|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/option.java(166:24)|/src/main/java/org/apache/commons/cli/option.java(169:9)|org.apache.commons.cli.Option$Builder.longOpt(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/option.java(134:24)|/src/main/java/org/apache/commons/cli/option.java(136:9)|org.apache.commons.cli.Option$Builder.hasArg()|SYMBOL_KIND_METHOD|SYMBOL_USE_VIRTUAL_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/missingargumentexception.java(23:14)|/src/main/java/org/apache/commons/cli/missingargumentexception.java(61:1)|org.apache.commons.cli.MissingArgumentException|SYMBOL_KIND_CLASS|SYMBOL_USE_INHERITANCE
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(345:19)|/src/main/java/org/apache/commons/cli/helpformatter.java(347:5)|org.apache.commons.cli.HelpFormatter.getLongOptPrefix()|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/defaultparser.java(115:24)|/src/main/java/org/apache/commons/cli/defaultparser.java(118:9)|org.apache.commons.cli.DefaultParser$Builder.setStripLeadingAndTrailingQuotes(java.lang.Boolean)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/typehandler.java(39:28)|/src/main/java/org/apache/commons/cli/typehandler.java(45:5)|org.apache.commons.cli.TypeHandler.createClass(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_STATIC_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(453:17)|/src/main/java/org/apache/commons/cli/helpformatter.java(456:5)|org.apache.commons.cli.HelpFormatter.printHelp(java.io.PrintWriter,int,java.lang.String,java.lang.String,org.apache.commons.cli.Options,int,int,java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/commandline.java(141:19)|/src/main/java/org/apache/commons/cli/commandline.java(143:5)|org.apache.commons.cli.CommandLine.getOptionObject(char)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/defaultparser.java(136:23)|/src/main/java/org/apache/commons/cli/defaultparser.java(136:30)|org.apache.commons.cli.DefaultParser.options|SYMBOL_KIND_FIELD|SYMBOL_USE_INSTANCE_FIELD_WRITE
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(393:19)|/src/main/java/org/apache/commons/cli/helpformatter.java(395:5)|org.apache.commons.cli.HelpFormatter.getSyntaxPrefix()|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
